condition,qid,qkind,candidates,nodes,edges,recall,ceiling,seconds
whole graph,analyte-0,analyte,15810,11,10,0.0004154549231408392,1.0,0.08802819999982603
whole graph,analyte-1,analyte,15810,11,10,0.0008,1.0,0.0738710000005085
whole graph,analyte-2,analyte,15810,11,10,0.0011123470522803114,1.0,0.07526669997605495
whole graph,analyte-3,analyte,15810,11,10,0.0013812154696132596,1.0,0.08245329998317175
whole graph,analyte-4,analyte,15810,11,10,0.0016181229773462784,1.0,0.07545910001499578
whole graph,drug-0,drug,15810,11,10,0.01669449081803005,1.0,0.08243650000076741
whole graph,drug-1,drug,15810,11,10,0.0423728813559322,1.0,0.07926110000698827
whole graph,drug-2,drug,15810,11,10,0.06097560975609756,1.0,0.07405429999926127
whole graph,drug-3,drug,15810,11,10,0.078125,1.0,0.08084290000260808
whole graph,drug-4,drug,15810,11,10,0.09345794392523364,1.0,0.07527000000118278
whole graph,dx-named-0,dx-named,15810,11,10,1.0,1.0,0.07947319999220781
whole graph,dx-named-1,dx-named,15810,11,10,1.0,1.0,0.07923579998896457
whole graph,dx-codeonly-0,dx-codeonly,15810,11,10,0.0,1.0,0.0759814000048209
whole graph,dx-codeonly-1,dx-codeonly,15810,11,10,0.0,1.0,0.07703220000257716
"top-n similar, n=500",analyte-0,analyte,500,500,0,0.17324470294972996,0.17324470294972996,0.01521020001382567
"top-n similar, n=500",analyte-1,analyte,500,500,0,0.3352,0.3352,0.011240199994063005
"top-n similar, n=500",analyte-2,analyte,500,500,0,0.4671857619577308,0.4671857619577308,0.01317729998845607
"top-n similar, n=500",analyte-3,analyte,500,500,0,0.5814917127071824,0.5814917127071824,0.011689100007060915
"top-n similar, n=500",analyte-4,analyte,500,500,0,0.6796116504854369,0.6796116504854369,0.012140500009991229
"top-n similar, n=500",drug-0,drug,500,500,0,0.8347245409015025,0.8347245409015025,0.01245140001992695
"top-n similar, n=500",drug-1,drug,500,11,10,0.0423728813559322,1.0,0.013287700014188886
"top-n similar, n=500",drug-2,drug,500,11,10,0.06097560975609756,1.0,0.01302630000282079
"top-n similar, n=500",drug-3,drug,500,11,10,0.078125,1.0,0.012625500006834045
"top-n similar, n=500",drug-4,drug,500,11,10,0.09345794392523364,1.0,0.014835100009804592
"top-n similar, n=500",dx-named-0,dx-named,500,11,10,1.0,1.0,0.016095200000563636
"top-n similar, n=500",dx-named-1,dx-named,500,11,10,1.0,1.0,0.013559999992139637
"top-n similar, n=500",dx-codeonly-0,dx-codeonly,500,11,10,0.0,0.0,0.01368410000577569
"top-n similar, n=500",dx-codeonly-1,dx-codeonly,500,11,10,0.0,0.0,0.01665750000393018
"top-n similar, n=2000",analyte-0,analyte,2000,2000,0,0.7964270876609888,0.7964270876609888,0.016667000018060207
"top-n similar, n=2000",analyte-1,analyte,2000,11,10,0.0008,0.8424,0.015909800014924258
"top-n similar, n=2000",analyte-2,analyte,2000,11,10,0.0011123470522803114,0.7819799777530589,0.014825899997958913
"top-n similar, n=2000",analyte-3,analyte,2000,11,10,0.0013812154696132596,0.7292817679558011,0.014440799976000562
"top-n similar, n=2000",analyte-4,analyte,2000,11,10,0.0016181229773462784,0.6844660194174758,0.022559899982297793
"top-n similar, n=2000",drug-0,drug,2000,11,10,0.01669449081803005,1.0,0.01753340000868775
"top-n similar, n=2000",drug-1,drug,2000,11,10,0.0423728813559322,1.0,0.01439520000712946
"top-n similar, n=2000",drug-2,drug,2000,11,10,0.06097560975609756,1.0,0.014155699987895787
"top-n similar, n=2000",drug-3,drug,2000,11,10,0.078125,1.0,0.014214099996024743
"top-n similar, n=2000",drug-4,drug,2000,11,10,0.09345794392523364,1.0,0.013634400005685166
"top-n similar, n=2000",dx-named-0,dx-named,2000,11,10,1.0,1.0,0.022886799997650087
"top-n similar, n=2000",dx-named-1,dx-named,2000,11,10,1.0,1.0,0.02557990001514554
"top-n similar, n=2000",dx-codeonly-0,dx-codeonly,2000,11,10,0.0,0.0,0.02407279997714795
