retriever,config,param_topk,param_topk_e,param_cost_e,param_tie_break,qid,question,kind,validated,answer_node_recall,skipped_reason,edge_recall,edge_precision,nodes,edges,chars,node_fraction,connected,param_gen_k,param_gen_hops,param_gen_cap,param_inner_topk,param_inner_topk_e,param_inner_cost_e,param_inner_tie_break,param_k,patient
PCST,"PCST(topk=10, topk_e=0, cost_e=0.5, tie_break=stable)",10.0,0.0,0.5,stable,analyte-0,lab result: creatinine,entity,False,0.0008960573476702509,,,0.0,11,10,2412,0.0017391304347826088,True,,,,,,,,,replica-0
PCST,"PCST(topk=10, topk_e=0, cost_e=0.5, tie_break=stable)",10.0,0.0,0.5,stable,analyte-1,lab result: urea,entity,False,0.0017331022530329288,,,0.0,11,10,2108,0.0017391304347826088,True,,,,,,,,,replica-0
PCST,"PCST(topk=10, topk_e=0, cost_e=0.5, tie_break=stable)",10.0,0.0,0.5,stable,analyte-2,lab result: sodium,entity,False,0.0024330900243309003,,,0.0,11,10,2142,0.0017391304347826088,True,,,,,,,,,replica-0
PCST,"PCST(topk=10, topk_e=0, cost_e=0.5, tie_break=stable)",10.0,0.0,0.5,stable,drug-0,drug administration: tacrolimus,entity,False,0.03875968992248062,,,0.0,11,10,1966,0.0017391304347826088,True,,,,,,,,,replica-0
PCST,"PCST(topk=10, topk_e=0, cost_e=0.5, tie_break=stable)",10.0,0.0,0.5,stable,drug-1,drug administration: ciclosporin,entity,False,0.09433962264150944,,,0.0,11,10,2019,0.0017391304347826088,True,,,,,,,,,replica-0
PCST,"PCST(topk=10, topk_e=0, cost_e=0.5, tie_break=stable)",10.0,0.0,0.5,stable,drug-2,drug administration: mycophenolate mofetil,entity,False,0.1388888888888889,,,0.0,11,10,2241,0.0017391304347826088,True,,,,,,,,,replica-0
PCST,"PCST(topk=10, topk_e=0, cost_e=0.5, tie_break=stable)",10.0,0.0,0.5,stable,dx-named-0,"herzinsuffizienz, ohne angabe",entity,False,1.0,,,0.0,10,9,1473,0.0015810276679841897,True,,,,,,,,,replica-0
PCST,"PCST(topk=10, topk_e=0, cost_e=0.5, tie_break=stable)",10.0,0.0,0.5,stable,dx-codeonly-0,"chronische erkrankung, grad eins",entity,False,0.0,,,0.0,10,9,1520,0.0015810276679841897,True,,,,,,,,,replica-0
PCST after seed expansion,"PCST after seed expansion(gen_k=10, gen_hops=2, gen_cap=2000, inner_topk=10, inner_topk_e=0, inner_cost_e=0.5, inner_tie_break=stable)",,,,,analyte-0,lab result: creatinine,entity,False,0.0008960573476702509,,,0.0,11,10,2412,0.0017391304347826088,True,10.0,2.0,2000.0,10.0,0.0,0.5,stable,,replica-0
PCST after seed expansion,"PCST after seed expansion(gen_k=10, gen_hops=2, gen_cap=2000, inner_topk=10, inner_topk_e=0, inner_cost_e=0.5, inner_tie_break=stable)",,,,,analyte-1,lab result: urea,entity,False,0.0017331022530329288,,,0.0,11,10,2108,0.0017391304347826088,True,10.0,2.0,2000.0,10.0,0.0,0.5,stable,,replica-0
