retriever,config,dial,dial_value,size,answer_node_recall,n_scored
BFS expansion,"BFS expansion(k=3, hops=1)",hops,1.0,7.5,0.2073,12
BFS expansion,"BFS expansion(k=3, hops=2)",hops,2.0,1553.6667,0.8878,12
BFS expansion,"BFS expansion(k=3, hops=3)",hops,3.0,1658.0,1.0,12
PCST,"PCST(topk=10, topk_e=0, cost_e=3.0, tie_break=stable)",cost_e,3.0,9.25,0.2661,12
PCST,"PCST(topk=10, topk_e=0, cost_e=1.0, tie_break=stable)",cost_e,1.0,10.9167,0.2957,12
PCST,"PCST(topk=10, topk_e=0, cost_e=0.5, tie_break=stable)",cost_e,0.5,11.3333,0.309,12
PCST,"PCST(topk=10, topk_e=0, cost_e=0.25, tie_break=stable)",cost_e,0.25,11.3333,0.309,12
PCST,"PCST(topk=10, topk_e=0, cost_e=0.1, tie_break=stable)",cost_e,0.1,11.3333,0.309,12
PCST,"PCST(topk=10, topk_e=0, cost_e=0.05, tie_break=stable)",cost_e,0.05,11.3333,0.309,12
PCST,"PCST(topk=10, topk_e=0, cost_e=0.01, tie_break=stable)",cost_e,0.01,11.3333,0.309,12
PCST,"PCST(topk=3, topk_e=5, cost_e=0.5, tie_break=stable)",cost_e (published defaults),0.5,1658.0,1.0,12
shortest paths,shortest paths(k=2),k,2.0,3.0,0.1944,12
shortest paths,shortest paths(k=3),k,3.0,4.0,0.2073,12
shortest paths,shortest paths(k=5),k,5.0,6.0,0.2331,12
shortest paths,shortest paths(k=10),k,10.0,11.3333,0.309,12
top-k nodes + neighbours,top-k nodes + neighbours(k=1),k,1.0,3.6667,0.1815,12
top-k nodes + neighbours,top-k nodes + neighbours(k=3),k,3.0,7.5,0.2073,12
top-k nodes + neighbours,top-k nodes + neighbours(k=10),k,10.0,532.25,0.4757,12
top-k nodes + neighbours,top-k nodes + neighbours(k=30),k,30.0,547.6667,0.6632,12
top-k nodes + neighbours,top-k nodes + neighbours(k=100),k,100.0,595.0,0.8324,12
top-k triples (KAPING),top-k triples (KAPING)(k=1),k,1.0,2.0,0.1815,12
top-k triples (KAPING),top-k triples (KAPING)(k=3),k,3.0,4.1667,0.2073,12
top-k triples (KAPING),top-k triples (KAPING)(k=10),k,10.0,11.0,0.3016,12
top-k triples (KAPING),top-k triples (KAPING)(k=30),k,30.0,29.0,0.4762,12
top-k triples (KAPING),top-k triples (KAPING)(k=100),k,100.0,81.25,0.6089,12
top-k triples (KAPING),top-k triples (KAPING)(k=300),k,300.0,192.6667,0.7122,12
