retriever,dial,dial_value,config,answer_node_recall,n_scored,edge_recall,edge_precision,nodes,edges,chars,node_fraction,always_connected,n_questions
BFS expansion,hops,1.0,"BFS expansion(k=3, hops=1)",0.1495,14,,0.0,7.7143,11.1429,1205.1429,0.0005,True,14
BFS expansion,hops,2.0,"BFS expansion(k=3, hops=2)",0.925,14,,0.0,15333.7143,30647.5,3649657.7857,0.9699,True,14
BFS expansion,hops,3.0,"BFS expansion(k=3, hops=3)",1.0,14,,0.0,15810.0,45562.0,4020587.0,1.0,True,14
PCST,cost_e,3.0,"PCST(topk=10, topk_e=0, cost_e=3.0, tie_break=stable)",0.1578,14,,0.0,8.0,7.0,1347.2143,0.0005,True,14
PCST,cost_e,1.0,"PCST(topk=10, topk_e=0, cost_e=1.0, tie_break=stable)",0.162,14,,0.0,10.0,9.0,1695.1429,0.0006,True,14
PCST,cost_e,0.5,"PCST(topk=10, topk_e=0, cost_e=0.5, tie_break=stable)",0.1641,14,,0.0,11.0,10.0,1868.6429,0.0007,True,14
PCST,cost_e,0.25,"PCST(topk=10, topk_e=0, cost_e=0.25, tie_break=stable)",0.1641,14,,0.0,11.0,10.0,1868.6429,0.0007,True,14
PCST,cost_e,0.1,"PCST(topk=10, topk_e=0, cost_e=0.1, tie_break=stable)",0.1641,14,,0.0,11.0,10.0,1868.6429,0.0007,True,14
PCST,cost_e,0.05,"PCST(topk=10, topk_e=0, cost_e=0.05, tie_break=stable)",0.1641,14,,0.0,11.0,10.0,1868.6429,0.0007,True,14
PCST,cost_e,0.01,"PCST(topk=10, topk_e=0, cost_e=0.01, tie_break=stable)",0.1641,14,,0.0,11.0,10.0,1868.6429,0.0007,True,14
PCST,cost_e (published defaults),0.5,"PCST(topk=3, topk_e=5, cost_e=0.5, tie_break=stable)",1.0,14,,0.0,15810.0,45562.0,4020587.0,1.0,True,14
shortest paths,k,2.0,shortest paths(k=2),0.1474,14,,0.0,3.0,2.0,474.7857,0.0002,True,14
shortest paths,k,3.0,shortest paths(k=3),0.1495,14,,0.0,4.0,3.0,652.0714,0.0003,True,14
shortest paths,k,5.0,shortest paths(k=5),0.1537,14,,0.0,6.0,5.0,998.1429,0.0004,True,14
shortest paths,k,10.0,shortest paths(k=10),0.1641,14,,0.0,11.0,10.0,1868.6429,0.0007,True,14
top-k nodes + neighbours,k,1.0,top-k nodes + neighbours(k=1),0.1453,14,,0.0,3.7143,2.7143,467.5714,0.0002,True,14
top-k nodes + neighbours,k,3.0,top-k nodes + neighbours(k=3),0.1495,14,,0.0,7.7143,8.1429,1122.5,0.0005,True,14
top-k nodes + neighbours,k,10.0,top-k nodes + neighbours(k=10),0.1641,14,,0.0,21.7143,27.1429,3390.0714,0.0014,True,14
top-k nodes + neighbours,k,30.0,top-k nodes + neighbours(k=30),0.2774,14,,0.0,2243.7143,2502.2857,468897.4286,0.1419,True,14
top-k nodes + neighbours,k,100.0,top-k nodes + neighbours(k=100),0.5032,14,,0.0,4514.8571,7760.7857,1027520.3571,0.2856,True,14
top-k triples (KAPING),k,1.0,top-k triples (KAPING)(k=1),0.1453,14,,0.0,2.0,1.0,295.2857,0.0001,True,14
top-k triples (KAPING),k,3.0,top-k triples (KAPING)(k=3),0.1495,14,,0.0,4.0,3.0,629.5,0.0003,True,14
top-k triples (KAPING),k,10.0,top-k triples (KAPING)(k=10),0.1641,14,,0.0,11.0,10.0,1822.1429,0.0007,True,14
top-k triples (KAPING),k,30.0,top-k triples (KAPING)(k=30),0.2057,14,,0.0,31.0,30.0,5105.0,0.002,True,14
top-k triples (KAPING),k,100.0,top-k triples (KAPING)(k=100),0.3523,14,,0.0,93.6429,100.0,14986.2857,0.0059,False,14
top-k triples (KAPING),k,300.0,top-k triples (KAPING)(k=300),0.5189,14,,0.0,209.8571,300.0,38614.6429,0.0133,False,14
