retriever,dial,dial_value,config,answer_node_recall,n_scored,edge_recall,edge_precision,nodes,edges,chars,node_fraction,always_connected,n_questions
BFS expansion,hops,1.0,"BFS expansion(k=3, hops=1)",0.1948,14,,0.0,7.5714,11.0,870.2857,0.0046,True,14
BFS expansion,hops,2.0,"BFS expansion(k=3, hops=2)",0.8662,14,,0.0,1553.7143,3104.9286,287675.6429,0.9371,True,14
BFS expansion,hops,3.0,"BFS expansion(k=3, hops=3)",1.0,14,,0.0,1658.0,4592.0,323928.0,1.0,True,14
PCST,cost_e,3.0,"PCST(topk=10, topk_e=0, cost_e=3.0, tie_break=stable)",0.2697,14,,0.0,9.2857,8.2857,1071.8571,0.0056,True,14
PCST,cost_e,1.0,"PCST(topk=10, topk_e=0, cost_e=1.0, tie_break=stable)",0.3074,14,,0.0,11.0,10.0,1293.5714,0.0066,True,14
PCST,cost_e,0.5,"PCST(topk=10, topk_e=0, cost_e=0.5, tie_break=stable)",0.3243,14,,0.0,11.4286,10.4286,1341.3571,0.0069,True,14
PCST,cost_e,0.25,"PCST(topk=10, topk_e=0, cost_e=0.25, tie_break=stable)",0.3243,14,,0.0,11.4286,10.4286,1341.3571,0.0069,True,14
PCST,cost_e,0.1,"PCST(topk=10, topk_e=0, cost_e=0.1, tie_break=stable)",0.3243,14,,0.0,11.4286,10.4286,1341.3571,0.0069,True,14
PCST,cost_e,0.05,"PCST(topk=10, topk_e=0, cost_e=0.05, tie_break=stable)",0.3243,14,,0.0,11.4286,10.4286,1341.3571,0.0069,True,14
PCST,cost_e,0.01,"PCST(topk=10, topk_e=0, cost_e=0.01, tie_break=stable)",0.3243,14,,0.0,11.4286,10.4286,1341.3571,0.0069,True,14
PCST,cost_e (published defaults),0.5,"PCST(topk=3, topk_e=5, cost_e=0.5, tie_break=stable)",1.0,14,,0.0,1658.0,4592.0,323928.0,1.0,True,14
shortest paths,k,2.0,shortest paths(k=2),0.1782,14,,0.0,3.0,2.0,329.5,0.0018,True,14
shortest paths,k,3.0,shortest paths(k=3),0.1948,14,,0.0,4.0,3.0,451.4286,0.0024,True,14
shortest paths,k,5.0,shortest paths(k=5),0.2279,14,,0.0,6.0,5.0,700.2143,0.0036,True,14
shortest paths,k,10.0,shortest paths(k=10),0.3243,14,,0.0,11.4286,13.6429,1411.3571,0.0069,True,14
top-k nodes + neighbours,k,1.0,top-k nodes + neighbours(k=1),0.1617,14,,0.0,3.7143,2.7143,331.2857,0.0022,True,14
top-k nodes + neighbours,k,3.0,top-k nodes + neighbours(k=3),0.1948,14,,0.0,7.5714,8.1429,792.5714,0.0046,True,14
top-k nodes + neighbours,k,10.0,top-k nodes + neighbours(k=10),0.4672,14,,0.0,459.4286,587.7143,74573.5714,0.2771,True,14
top-k nodes + neighbours,k,30.0,top-k nodes + neighbours(k=30),0.6571,14,,0.0,475.7857,1032.1429,88348.0,0.287,True,14
top-k nodes + neighbours,k,100.0,top-k nodes + neighbours(k=100),0.8251,14,,0.0,527.0,1180.6429,97644.5714,0.3179,True,14
top-k triples (KAPING),k,1.0,top-k triples (KAPING)(k=1),0.1617,14,,0.0,2.0,1.0,212.1429,0.0012,True,14
top-k triples (KAPING),k,3.0,top-k triples (KAPING)(k=3),0.1948,14,,0.0,4.1429,3.0,463.5,0.0025,False,14
top-k triples (KAPING),k,10.0,top-k triples (KAPING)(k=10),0.3141,14,,0.0,10.8571,10.0,1268.1429,0.0065,False,14
top-k triples (KAPING),k,30.0,top-k triples (KAPING)(k=30),0.4904,14,,0.0,28.8571,30.0,3584.9286,0.0174,False,14
top-k triples (KAPING),k,100.0,top-k triples (KAPING)(k=100),0.6278,14,,0.0,81.0714,100.0,11590.5,0.0489,False,14
top-k triples (KAPING),k,300.0,top-k triples (KAPING)(k=300),0.7163,14,,0.0,188.3571,300.0,29842.0,0.1136,False,14
